Million Plus Cities,Sunny/Clear - Total Accidents - Number,Sunny/Clear - Persons Killed - Number,Sunny/Clear - Persons Injured - Greviously Injured,Sunny/Clear - Persons Injured - Minor Injury,Sunny/Clear - Persons Injured - Total Injured ,Rainy - Total Accidents,Rainy - Persons Killed,Rainy - Persons Injured - Greviously Injured,Rainy - Persons Injured - Minor Injury,Rainy - Persons Injured - Total Injured ,Foggy and Misty - Total Accidents,Foggy and Misty - Persons Killed,Foggy and Misty - Persons Injured - Greviously Injured,Foggy and Misty - Persons Injured - Minor Injury,Foggy and Misty - Persons Injured - Total Injured ,Hail/Sleet - Total Accidents,Hail/Sleet - Persons Killed,Hail/Sleet - Persons Injured - Greviously Injured,Hail/Sleet - Persons Injured - Minor Injury,Hail/Sleet - Persons Injured - Total Injured ,Others - Total Accidents,Others - Persons Killed,Others - Persons Injured - Greviously Injured,Others - Persons Injured - Minor Injury,Others - Persons Injured - Total Injured 
Agra,197,122,94,75,169,240,123,87,78,165,215,107,77,59,136,59,35,42,23,65,195,127,77,21,98
Ahmedabad,1185,340,476,310,786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allahabad(Prayagraj),305,128,31,154,185,209,92,21,128,149,213,98,22,116,138,216,92,23,114,137,209,107,24,99,123
Amritsar,60,41,31,9,40,0,0,0,0,0,6,5,1,1,2,2,1,0,2,2,32,19,6,9,15
Asansol Durgapur,187,128,83,12,95,2,1,1,0,1,48,36,33,6,39,1,0,1,0,1,190,150,85,25,110
Aurangabad,403,135,218,73,291,3,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bengaluru,3014,587,1595,994,2589,115,30,46,37,83,104,29,66,13,79,0,0,0,0,0,0,0,0,0,0
Bhopal,1764,169,123,1270,1393,198,24,21,162,183,59,11,11,37,48,11,2,2,5,7,263,31,29,147,176
Chandigarh,152,46,14,131,145,1,1,0,0,0,6,6,0,3,3,0,0,0,0,0,0,0,0,0,0
Coimbatore,543,52,267,285,552,111,9,53,61,114,53,4,27,29,56,0,0,0,0,0,0,0,0,0,0
Chennai,1560,307,332,1125,1457,1655,289,279,1521,1800,667,132,187,407,594,0,0,0,0,0,507,144,143,269,412
Delhi,2385,651,106,1965,2071,265,36,17,308,325,194,31,13,204,217,0,0,0,0,0,1334,478,76,973,1049
Dhanbad,28,19,7,4,11,74,31,40,8,48,9,3,5,3,8,8,1,2,4,6,45,29,18,7,25
Faridabad,435,175,59,319,378,0,0,0,0,0,54,20,6,37,43,0,0,0,0,0,0,0,0,0,0
Ghaziabad,270,123,110,64,174,142,59,56,39,95,187,83,79,34,113,0,0,0,0,0,109,61,52,31,83
Gwalior,1799,316,95,1234,1329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hyderabad,1476,178,74,1277,1351,9,0,0,13,13,16,3,1,15,16,1,0,0,1,1,562,73,22,489,511
Indore,2692,420,203,2164,2367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,344,39,19,262,281
Jabalpur,2105,305,344,1859,2203,205,30,21,160,181,222,29,34,169,203,0,0,0,0,0,694,58,91,579,670
Jaipur,1924,605,437,1112,1549,0,0,0,0,0,15,0,7,12,19,0,0,0,0,0,1,1,0,0,0
Jamshedpur,44,17,27,6,33,36,14,23,4,27,30,12,18,3,21,0,0,0,0,0,9,4,8,2,10
Jodhpur,231,103,29,142,171,0,0,0,0,0,42,26,1,21,22,0,0,0,0,0,19,13,3,11,14
Kannur,410,48,241,218,459,94,9,63,51,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kanpur,176,78,97,14,111,161,69,87,21,108,364,172,197,17,214,109,49,65,9,74,414,195,247,24,271
Khozikode,864,69,660,213,873,57,4,45,15,60,82,18,57,22,79,0,0,0,0,0,0,0,0,0,0
Kochi,1291,82,1022,253,1275,14,3,5,8,13,64,7,51,7,58,0,0,0,0,0,68,9,44,16,60
Kolkata,1536,190,776,503,1279,71,9,38,27,65,50,2,19,14,33,0,0,0,0,0,26,0,11,13,24
Kollam,1168,142,1020,137,1157,23,4,16,4,20,15,2,14,0,14,15,2,15,0,15,190,44,141,34,175
Kota,353,60,67,295,362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucknow,185,72,61,45,106,219,81,73,57,130,270,109,89,75,164,147,60,45,36,81,125,52,38,35,73
Ludhiana,77,95,33,15,48,36,25,17,10,27,94,53,20,0,20,0,0,0,0,0,211,110,69,20,89
Madurai,530,81,112,387,499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mallapuram,1460,187,1140,372,1512,256,45,188,68,256,68,15,40,20,60,0,0,0,0,0,0,0,0,0,0
Meerut,188,79,5,121,126,37,21,3,18,21,134,58,9,94,103,18,6,3,31,34,348,185,7,196,203
Mumbai,1812,349,1297,443,1740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagpur,773,210,420,332,752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nashik,415,170,287,78,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Patna,145,91,72,5,77,88,30,69,3,72,140,60,87,7,94,0,0,0,0,0,0,0,0,0,0
Pune,482,143,297,91,388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Raipur,1430,448,38,1038,1076,309,32,9,186,195,27,2,2,21,23,0,0,0,0,0,0,0,0,0,0
Rajkot,117,37,45,33,78,131,31,69,47,116,21,8,7,6,13,163,62,80,37,117,0,0,0,0,0
Srinagar,243,42,0,246,246,5,1,0,4,4,0,0,0,0,0,0,0,0,0,0,27,2,0,25,25
Surat,463,153,249,87,336,98,30,62,17,79,14,8,7,1,8,0,0,0,0,0,0,0,0,0,0
Thiruvanthapuram,1111,89,940,222,1162,2,2,0,0,0,24,3,21,4,25,1,0,1,0,1,76,14,62,13,75
Thrissur,1449,130,1090,517,1607,15,4,12,13,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tiruchirapalli,357,80,0,352,352,32,5,0,38,38,9,2,0,11,11,0,0,0,0,0,0,0,0,0,0
Vadodra,445,142,228,151,379,36,11,13,16,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Varanasi,253,119,113,69,182,47,18,18,14,32,40,12,14,13,27,8,7,5,1,6,97,57,32,26,58
Vijaywada city,1065,271,407,564,971,0,0,0,0,0,7,3,2,4,6,0,0,0,0,0,0,0,0,0,0
Vizaq,1207,176,561,252,813,25,4,13,8,21,71,7,26,23,49,9,0,7,0,7,453,68,187,105,292
Total,42764,8800,16033,21637,37670,5021,1178,1467,3144,4611,3634,1176,1250,1508,2758,768,317,291,263,554,6549,2071,1491,3431,4922
